GEOID,year,filings_2020,filings_avg,filings_avg_prepandemic_baseline,Census Tract Name,Total Population,Black or African American (%),Hispanic or Latino (%),White Non-Hispanic (%),Female (%),Under 18 (%),High School or Less (%),Single Mother Households (%),Poverty Rate (%),Uninsured (%),Renter Occupied Housing (%),Households with Children (Count),Renter Occupied Units (Count),state,county,tract,Eviction Rate per 1k,Pct Renter x Poverty,Pct Uninsured x HS or Less,majority_race,Poverty to Education Ratio,Youth Burden,Female to Pop Ratio,High Renter
48113001703,2022,3.25,6.041666666666667,2.9444166666666667,Census Tract 17.03; Dallas County; Texas,3129,1.9,7.0,2.1,3129.0,3.0,100.0,27.6,0.0,4.1,22.6,600,1469,48,113,1703,1.9308618301906892,0.0,4.1,Mixed/Other,0.0,0.00096,1.0,0
48113001703,2023,3.75,6.041666666666667,2.9444166666666667,Census Tract 17.03; Dallas County; Texas,3758,2.0,0.0,6.1,3758.0,1.9,100.0,28.2,0.0,0.0,19.8,687,1478,48,113,1703,1.607681390810715,0.0,0.0,Mixed/Other,0.0,0.00051,1.0,0
48113001705,2020,0.75,3.125,3.2221666666666664,"Census Tract 17.05, Dallas County, Texas",2536,7.5,10.6,72.3,2536.0,0.6,99.6,34.4,0.0,0.0,17.2,634,1090,48,113,1705,1.2322555205047319,0.0,0.0,Majority White,0.0,0.00024,1.0,0
48113001705,2021,2.1666666666666665,3.125,3.2221666666666664,"Census Tract 17.05, Dallas County, Texas",2629,8.4,11.1,71.4,2629.0,1.6,99.6,32.5,0.0,0.0,17.6,635,1130,48,113,1705,1.1886648915937619,0.0,0.0,Majority White,0.0,0.00061,1.0,0
48113001705,2022,2.8333333333333335,3.125,3.2221666666666664,Census Tract 17.05; Dallas County; Texas,2823,7.0,3.3,3.2,2823.0,1.6,100.0,32.8,0.0,0.0,17.0,680,1258,48,113,1705,1.1069783917817924,0.0,0.0,Mixed/Other,0.0,0.00057,1.0,0
48113001705,2023,4.5,3.125,3.2221666666666664,Census Tract 17.05; Dallas County; Texas,2923,7.8,2.1,6.1,2923.0,1.7,99.2,27.7,0.0,6.2,18.5,591,1317,48,113,1705,1.0691070817653097,0.0,6.15,Mixed/Other,0.0,0.00058,1.0,0
48113001801,2020,2.4166666666666665,5.541666666666667,4.305416666666667,"Census Tract 18.01, Dallas County, Texas",2506,8.4,5.0,80.9,2506.0,1.4,98.9,30.3,0.0,0.0,6.2,514,938,48,113,1801,2.2113594040968345,0.0,0.0,Majority White,0.0,0.00056,1.0,0
48113001801,2021,2.0,5.541666666666667,4.305416666666667,"Census Tract 18.01, Dallas County, Texas",2417,7.2,8.2,81.1,2417.0,1.3,98.5,29.9,0.0,0.0,8.2,480,856,48,113,1801,2.292787201765274,0.0,0.0,Majority White,0.0,0.00054,1.0,0
48113001801,2022,5.416666666666667,5.541666666666667,4.305416666666667,Census Tract 18.01; Dallas County; Texas,2460,3.3,4.0,1.8,2460.0,1.9,99.2,31.5,0.0,0.0,10.6,536,941,48,113,1801,2.252710027100271,0.0,0.0,Mixed/Other,0.0,0.00077,1.0,0
48113001801,2023,6.25,5.541666666666667,4.305416666666667,Census Tract 18.01; Dallas County; Texas,2568,5.8,0.0,9.9,2568.0,1.9,100.0,29.2,0.0,0.0,11.5,524,979,48,113,1801,2.1579698857736243,0.0,0.0,Mixed/Other,0.0,0.00074,1.0,0
48113001802,2020,1.25,4.333333333333333,4.47225,"Census Tract 18.02, Dallas County, Texas",3059,4.9,9.4,73.7,3059.0,1.8,100.0,27.1,0.0,29.5,0.0,575,1491,48,113,1802,1.4165849406124005,0.0,29.5,Majority White,0.0,0.00059,1.0,0
48113001802,2021,1.8333333333333333,4.333333333333333,4.47225,"Census Tract 18.02, Dallas County, Texas",2968,5.0,9.4,70.1,2968.0,1.8,100.0,30.5,0.0,21.4,0.0,653,1632,48,113,1802,1.4600179694519315,0.0,21.4,Majority White,0.0,0.00061,1.0,0
48113001802,2022,3.4166666666666665,4.333333333333333,4.47225,Census Tract 18.02; Dallas County; Texas,3051,4.0,4.1,3.9,3051.0,1.8,100.0,27.1,0.0,19.0,0.0,585,1597,48,113,1802,1.4202993554026002,0.0,19.0,Mixed/Other,0.0,0.00059,1.0,0
48113001802,2023,5.0,4.333333333333333,4.47225,Census Tract 18.02; Dallas County; Texas,3078,3.5,1.9,4.8,3078.0,1.9,100.0,25.7,0.0,15.2,0.0,546,1570,48,113,1802,1.4078405891271388,0.0,15.2,Mixed/Other,0.0,0.00062,1.0,0
48113001901,2020,1.5833333333333333,3.3333333333333335,4.277916666666667,"Census Tract 19.01, Dallas County, Texas",3683,2.8,13.1,74.9,3683.0,1.7,100.0,12.4,0.0,0.0,12.7,315,1364,48,113,1901,0.9050592813829306,0.0,0.0,Majority White,0.0,0.00046,1.0,0
48113001901,2021,2.5,3.3333333333333335,4.277916666666667,"Census Tract 19.01, Dallas County, Texas",3724,3.1,14.7,67.8,3724.0,1.9,100.0,12.5,0.0,0.0,12.4,317,1377,48,113,1901,0.8950948800572861,0.0,0.0,Majority White,0.0,0.00051,1.0,0
48113001901,2022,1.5833333333333333,3.3333333333333335,4.277916666666667,Census Tract 19.01; Dallas County; Texas,3848,3.3,6.9,0.7,3848.0,1.2,100.0,13.7,0.0,0.0,17.6,370,1536,48,113,1901,0.8662508662508663,0.0,0.0,Mixed/Other,0.0,0.00031,1.0,0
